status	key	command
Composition	Backspace	Backspace
Composition	Ctrl [	Cancel
Composition	Ctrl @	ConvertToHalfAlphanumeric
Composition	Ctrl g	Delete
Composition	Ctrl h	Backspace
Composition	Ctrl i	ConvertToFullKatakana
Composition	Ctrl k	MoveCursorLeft
Composition	Ctrl l	MoveCursorRight
Composition	Ctrl Left	MoveCursorToBeginning
Composition	Ctrl m	Commit
Composition	Ctrl n	Commit
Composition	Ctrl o	ConvertToHalfWidth
Composition	Ctrl p	ConvertToFullAlphanumeric
Composition	Ctrl Right	MoveCursorToEnd
Composition	Ctrl Space	Convert
Composition	Ctrl u	ConvertToHiragana
Composition	Delete	Delete
Composition	Down	Commit
Composition	Ctrl Shift `	ToggleAlphanumericMode
Composition	RightShift	ToggleManyoshuHiragana
Composition	RightAlt ¨	SetMacronDeadKey
Composition	RightAlt ^	SetMacronDeadKey
Composition	Eisu	ToggleAlphanumericMode
Composition	Enter	Commit
Composition	ESC	Cancel
Composition	F10	ConvertToHalfAlphanumeric
Composition	F2	ConvertWithoutHistory
Composition	F6	ConvertToHiragana
Composition	F7	ConvertToFullKatakana
Composition	F8	ConvertToHalfWidth
Composition	F9	ConvertToFullAlphanumeric
Composition	Hankaku/Zenkaku	CancelAndIMEOff
Composition	Henkan	Convert
Composition	Hiragana	ToggleAlphanumericMode
Composition	Kana	ToggleAlphanumericMode
Composition	Kanji	CancelAndIMEOff
Composition	Left	MoveCursorLeft
Composition	Muhenkan	ToggleAlphanumericMode
Composition	OFF	CancelAndIMEOff
Composition	ON	IMEOn
Composition	Right	MoveCursorRight
Composition	Shift Henkan	Convert
Composition	Shift Muhenkan	ToggleAlphanumericMode
Composition	Shift Space	Convert
Composition	Space	Convert
Composition	Tab	PredictAndConvert
Composition	VirtualLeft	MoveCursorLeft
Composition	VirtualRight	MoveCursorRight
Composition	VirtualEnter	Commit
Composition	Ctrl Shift )	LaunchWordRegisterDialog
Conversion	Backspace	Cancel
Conversion	Ctrl [	Cancel
Conversion	Ctrl @	ConvertToHalfAlphanumeric
Conversion	Ctrl h	Cancel
Conversion	Ctrl i	ConvertToFullKatakana
Conversion	Ctrl k	SegmentWidthShrink
Conversion	Ctrl l	SegmentWidthExpand
Conversion	Ctrl Left	SegmentFocusFirst
Conversion	Ctrl m	Commit
Conversion	Ctrl n	CommitOnlyFirstSegment
Conversion	Ctrl o	ConvertToHalfWidth
Conversion	Ctrl p	ConvertToFullAlphanumeric
Conversion	Ctrl Right	SegmentFocusLast
Conversion	RightShift	ToggleManyoshuHiragana
Conversion	RightAlt ¨	SetMacronDeadKey
Conversion	RightAlt ^	SetMacronDeadKey
Conversion	Ctrl Shift `	ToggleAlphanumericMode
Conversion	Ctrl Shift ²	ToggleAlphanumericMode
Conversion	Ctrl Shift F	ToggleTraditionalKanji
Conversion	Ctrl Shift f	ToggleTraditionalKanji
Conversion	Ctrl Shift Left	SegmentWidthShrink
Conversion	Ctrl Shift Right	SegmentWidthExpand
Conversion	Ctrl Space	ConvertNext
Conversion	Ctrl u	ConvertToHiragana
Conversion	Down	CommitOnlyFirstSegment
Conversion	Eisu	ToggleAlphanumericMode
Conversion	Enter	Commit
Conversion	ESC	Cancel
Conversion	F1	ReportBug
Conversion	F10	ConvertToHalfAlphanumeric
Conversion	F3	ReportBug
Conversion	F6	ConvertToHiragana
Conversion	F7	ConvertToFullKatakana
Conversion	F8	ConvertToHalfWidth
Conversion	F9	ConvertToFullAlphanumeric
Conversion	Hankaku/Zenkaku	CancelAndIMEOff
Conversion	Henkan	ConvertNextPage
Conversion	Hiragana	ToggleAlphanumericMode
Conversion	Insert	Cancel
Conversion	Kanji	CancelAndIMEOff
Conversion	Left	SegmentWidthShrink
Conversion	OFF	CancelAndIMEOff
Conversion	ON	IMEOn
Conversion	Right	SegmentWidthExpand
Conversion	Shift Henkan	ConvertPrevPage
Conversion	Shift Left	SegmentFocusLeft
Conversion	Shift Right	SegmentFocusRight
Conversion	Shift Space	ConvertNext
Conversion	Shift Tab	ConvertPrev
Conversion	Space	ConvertNext
Conversion	Tab	PredictAndConvert
Conversion	Up	ConvertPrev
Conversion	VirtualLeft	SegmentWidthShrink
Conversion	VirtualRight	SegmentWidthExpand
Conversion	VirtualEnter	CommitOnlyFirstSegment
Conversion	Ctrl Shift )	LaunchWordRegisterDialog
DirectInput	Hankaku/Zenkaku	IMEOn
DirectInput	Henkan	IMEOn
DirectInput	Kanji	IMEOn
DirectInput	Muhenkan	IMEOn
DirectInput	ON	IMEOn
DirectInput	Shift Henkan	Reconvert
DirectInput	RightAlt ¨	SetMacronDeadKey
DirectInput	RightAlt ^	SetMacronDeadKey
DirectInput	Ctrl Shift `	IMEOn
DirectInput	Ctrl Shift )	LaunchWordRegisterDialog
Precomposition	Backspace	Revert
Precomposition	Ctrl Backspace	Undo
Precomposition	Ctrl F12	LaunchConfigDialog
