shin,kyu,code_point_shin,code_point_kyu,shin_sources,kyu_sources,note,,,,
𢭐,撈,[142160],[25736],,kd2,,,,,
䦰,鬮,[18864],[39726],,jmdict,kd2,mozc,,,
万,萬,[19975],[33836],jmdict,kd2,mozc,jmdict,kd2,mozc,
丈,丈󠄁,[19976],U+4E08 (19976)+U+E0101 (917761),jmdict,kd2,mozc,,,,corrected
与,與,[19982],[33287],jmdict,kd2,mozc,kd2,mozc,,
両,兩,[20001],[20841],jmdict,kd2,mozc,kd2,,,
並,竝,[20006],[31453],jmdict,kd2,mozc,kd2,,,
乗,乘,[20055],[20056],jmdict,kd2,mozc,kd2,mozc,,
乱,亂,[20081],[20098],jmdict,kd2,mozc,kd2,mozc,,
亀,龜,[20096],[20098],jmdict,kd2,mozc,jmdict,kd2,mozc,
予,豫,[20104],[35947],jmdict,kd2,mozc,kd2,mozc,,
争,爭,[20105],[29229],jmdict,kd2,mozc,kd2,mozc,,
亜,亞,[20124],[20126],jmdict,kd2,mozc,kd2,mozc,,
仏,佛,[20175],兎,jmdict,mozc,jmdict,kd2,mozc,,
仮,假,[20206],[20551],jmdict,kd2,mozc,kd2,,,
会,會,[20250],[26371],jmdict,kd2,mozc,kd2,mozc,,
伝,傳,[20253],[20659],jmdict,kd2,mozc,kd2,mozc,,
体,體,[20307],[39636],jmdict,kd2,mozc,kd2,,,
余,餘,[20313],[39192],jmdict,kd2,mozc,jmdict,kd2,,
併,倂,[20341],[20482],jmdict,kd2,mozc,kd2,,,
侠,俠,[20384],[20448],jmdict,kd2,mozc,kd2,mozc,,
価,價,[20385],[20729],jmdict,kd2,mozc,kd2,,,
侭,儘,[20397],[20760],jmdict,kd2,mozc,jmdict,kd2,mozc,
倶,俱,[20534],[20465],jmdict,kd2,mozc,kd2,,,
倹,儉,[20537],[20745],jmdict,kd2,mozc,kd2,mozc,,
偽,僞,[20605],[20702],jmdict,kd2,mozc,kd2,mozc,,
児,兒,[20816],[20818],jmdict,kd2,mozc,kd2,,,
党,黨,[20826],[40680],jmdict,kd2,mozc,kd2,mozc,,
内,內,[20869],[20839],jmdict,kd2,mozc,,,,
円,圓,[20870],[22291],jmdict,kd2,mozc,jmdict,kd2,mozc,
冊,册,[20874],[20876],jmdict,kd2,mozc,kd2,mozc,,
写,寫,[20889],[23531],jmdict,kd2,mozc,kd2,mozc,,
冴,冴󠄂,[20916],U+51B4 (20916) + U+E0102 (917762),jmdict,kd2,mozc,jmdict,kd2,mozc,corrected
凜,凛,[20956],[20955],jmdict,kd2,mozc,jmdict,kd2,mozc,
処,處,[20966],[34389],jmdict,kd2,mozc,kd2,mozc,,
刃,刃󠄁,[20995],U+5203 (20995) + U+E0101 (917761),jmdict,kd2,mozc,kd2,mozc,,corrected
剣,劍,[21091],[21133],jmdict,mozc,jmdict,,,,
剤,劑,[21092],[21137],jmdict,kd2,mozc,kd2,mozc,,
剥,剝,[21093],[21085],jmdict,kd2,mozc,jmdict,kd2,mozc,
剰,剩,[21104],[21097],jmdict,kd2,mozc,kd2,mozc,,
励,勵,[21169],[21237],jmdict,kd2,mozc,kd2,mozc,,
労,勞,[21172],[21214],jmdict,kd2,mozc,kd2,mozc,,
効,效,[21177],[25928],jmdict,kd2,mozc,kd2,mozc,,
勅,敕,[21189],[25941],jmdict,kd2,mozc,kd2,,,
勧,勸,[21223],[21240],jmdict,kd2,mozc,kd2,mozc,,
勲,勳,[21234],[21235],jmdict,kd2,mozc,kd2,mozc,,
区,區,[21306],[21312],jmdict,kd2,mozc,kd2,,,
医,醫,[21307],[37291],jmdict,kd2,mozc,kd2,,,
単,單,[21336],[21934],jmdict,mozc,kd2,,,,
即,卽,[21363],[21373],jmdict,mozc,kd2,,,,
厳,嚴,[21427],[22196],jmdict,kd2,mozc,kd2,mozc,,
参,參,[21442],[21443],jmdict,kd2,mozc,jmdict,kd2,mozc,
双,雙,[21452],[38617],jmdict,kd2,mozc,kd2,,,
収,收,[21454],[25910],jmdict,kd2,mozc,kd2,mozc,,
叙,敍,[21465],[25933],jmdict,kd2,mozc,kd2,mozc,,
台,臺,[21488],[33274],jmdict,kd2,mozc,kd2,mozc,,
号,號,[21495],[34399],jmdict,kd2,mozc,jmdict,kd2,,
呉,吳,[21577],[21555],jmdict,kd2,mozc,,,,
告,吿,[21578],[21567],jmdict,kd2,mozc,,,,
唖,啞,[21782],[21854],jmdict,kd2,mozc,kd2,mozc,,
営,營,[21942],[29151],jmdict,kd2,mozc,kd2,,,
嘘,噓,[22040],[22099],jmdict,kd2,mozc,jmdict,kd2,mozc,
嘱,囑,[22065],[22225],jmdict,kd2,mozc,kd2,,,
噛,嚙,[22107],[22169],jmdict,kd2,mozc,jmdict,kd2,mozc,
嚢,囊,[22178],[22218],jmdict,kd2,kd2,,,,
団,團,[22243],[22296],jmdict,kd2,mozc,kd2,mozc,,
囲,圍,[22258],[22285],jmdict,kd2,mozc,kd2,mozc,,
図,圖,[22259],[22294],jmdict,kd2,mozc,jmdict,kd2,,
国,國,[22269],[22283],jmdict,kd2,mozc,jmdict,kd2,mozc,
圏,圈,[22287],[22280],jmdict,kd2,mozc,kd2,,,
圧,壓,[22311],[22739],jmdict,kd2,mozc,kd2,,,
堕,墮,[22549],[22702],jmdict,kd2,mozc,kd2,,,
塁,壘,[22593],[22744],jmdict,kd2,mozc,kd2,,,
塩,鹽,[22633],[40573],jmdict,mozc,kd2,,,,
