# marinaMoji OpenCC dictionary (jp2t layer 1 - Phrases)
# File: marinaShin2KyuPhrases.txt
# Format: shin_phrase<TAB>kyu_phrase(s)
# Source: phrases_substitution_table_final.csv
# OpenCC analogue: JPShinjitaiPhrases.txt

1匹	1疋
1朱	1銖
1連	1嗹
一丁	一挺
一升瓶	一升壜
一獲千金	一攫千金
一郭	一廓
丁寧	丁嚀 丁寧 叮嚀
丁度	恰度
丁重	鄭重
七転八倒	七顚八倒
七転八起	七顚八起
三弦	三絃
下克上	下剋上
不一	不乙
不甲斐ない	腑甲斐ない
世知	世智
世論	輿論
乱伐	濫伐
乱作	濫作
乱売	濫賣
乱掘	濫掘
乱獲	濫獲
乱用	濫用
乱発	濫發
乱立	濫立
乱造	濫造
乾留	乾溜
了察	諒察
了承	諒承
了見	了簡
了解	諒解
事切れる	縡切れる
二角夾辺	二角夾邊
二辺夾角	二邊夾角
五大州	五大洲
亜鈴	啞鈴
交差	交叉
交歓	交驩
人知	人智
付録	附錄
仙人	僊人
以上	以上 已上
以下	以下 已下
以前	以前 已前
以後	以後 已後
企画	企劃
伸長	伸暢
低回	低回 低徊 彽回 彽徊
何州	何洲
余炎	餘焰
佳例	嘉例
佳日	嘉日
佳節	嘉節
佳肴	嘉肴
佳賞	嘉賞
佳辰	嘉辰
併合	幷合
併呑	幷呑
供宴	饗宴
供応	饗應
依託	依托
侵略	侵掠
侵食	侵蝕
係争	繫爭
係属	繫屬
係留	繫留
係累	繫累
係船	繫船
俊才	駿才
俊秀	儁秀
俊足	駿足
保母	保姆
保育	哺育
修練	修鍊
俳諧	誹諧
俳風	誹風
倉皇	倉惶 蒼惶 蒼皇
倒壊	倒潰
偏平	扁平
偏狭	褊狹
偏衫	褊衫
停泊	碇泊
側湾症	側彎症
傍注	傍註 旁注 旁註
傍点	旁點
傍線	旁線
傍若無人	旁若無人
元凶	元兇
先兵	尖兵
先端	尖端
先鋭	尖銳
光炎	光焰
全壊	全潰
全編	全篇
共役	共軛
具合	工合
兼併	兼幷
円座	圓坐
冗舌	饒舌
冥暗	冥闇
凝集	凝聚
凶刃	兇刃
凶器	兇器
凶変	兇變
凶弾	兇彈
凶悪	兇惡
凶暴	兇暴
凶漢	兇漢
凶状	兇狀
凶行	兇行
分留	分溜
切断	截斷
切枝	截枝
利口	利巧 悧口 悧巧
制御	制禦 制馭
刺激	刺戟
削岩	鑿岩
割り注	割り註
劫略	劫掠
励声	厲聲
励行	厲行
労咳	勞痎 癆痎
勅選	敕撰
動転	動顚
包丁	庖丁
包帯	繃帶
区画	區劃
午後	午后
半切	半截
半壊	半潰
半纏	袢纏
半裁	半截
卑俗	鄙俗
卑劣	鄙劣
卑猥	鄙猥
卑見	鄙見
卑賤	鄙賤
