# marinaMoji OpenCC dictionary (jp2t layer 3 - Variants, one-to-one)
# File: marinaShin2KyuVariants.txt
# Format: shin_char<TAB>kyu_char
# Source: char_complete_shin_kyu_table_manual.csv + char_one_to_many_table_manual.csv
# OpenCC analogue: JPVariantsRev.txt (we write shin->kyu directly)

䦰	鬮
万	萬
丈	丈󠄁
与	與
両	兩
並	竝
乗	乘
乱	亂
亀	龜
争	爭
亜	亞
仏	佛
仮	假
会	會
伝	傳
体	體
併	倂
侠	俠
価	價
侭	儘
倶	俱
倹	儉
偽	僞
兎	兔
児	兒
党	黨
内	內
円	圓
冊	册
写	寫
冴	冴󠄂
凜	凛
処	處
刃	刃󠄁
剣	劍
剤	劑
剥	剝
剰	剩
励	勵
労	勞
効	效
勅	敕
勧	勸
勲	勳
区	區
医	醫
単	單
即	卽
厳	嚴
参	參
双	雙
収	收
叙	敍
号	號
呉	吳
告	吿
唖	啞
営	營
嘘	噓
嘱	囑
噛	嚙
嚢	囊
団	團
囲	圍
図	圖
国	國
圏	圈
圧	壓
堕	墮
塁	壘
塩	鹽
填	塡
増	增
壊	壞
壌	壤
壮	壯
声	聲
壱	壹
売	賣
壷	壺
変	變
奥	奧
奨	奬
妊	姙
娯	娛
嬢	孃
学	學
宝	寶
実	實
寛	寬
寝	寢
対	對
寿	壽
専	專
将	將
尚	尙
尭	堯
尽	盡
届	屆
屏	屛
属	屬
屡	屢
岳	嶽
峡	峽
巌	巖
巣	巢
巻	卷
帯	帶
帰	歸
并	幷
庁	廳
広	廣
廃	廢
廉	廉
弐	貳
弥	彌
弯	彎
弾	彈
当	當
彦	彥
径	徑
従	從
徳	德
徴	徵
応	應
恋	戀
恒	恆
恵	惠
悦	悅
悩	惱
悪	惡
惨	慘
慎	愼
懐	懷
戦	戰
戯	戲
戸	戶
戻	戾
払	拂
抜	拔
択	擇
担	擔
拝	拜
拠	據
拡	擴
挙	擧
挟	挾
挿	插
捜	搜
掲	揭
掴	摑
掻	搔
揺	搖
摂	攝
撃	擊
撹	攪
攅	攢
数	數
斉	齊
斎	齋
断	斷
旧	舊
昼	晝
晋	晉
晩	晚
暁	曉
暑	暑
暦	曆
曽	曾
条	條
来	來
枢	樞
栄	榮
桜	櫻
桟	棧
桧	檜
棚	棚󠄁
検	檢
楼	樓
楽	樂
概	槪
様	樣
槙	槇
権	權
横	橫
欧	歐
歓	歡
歩	步
歯	齒
歳	歲
歴	歷
残	殘
殴	毆
殻	殼
毎	每
気	氣
没	沒
沢	澤
沪	濾
浄	淨
浅	淺
浜	濱
涙	淚
涛	濤
涜	瀆
清	淸
渇	渴
済	濟
渉	涉
渋	澁
渓	溪
渚	渚
温	溫
湾	灣
湿	濕
満	滿
溌	潑
滝	瀧
滞	滯
潅	灌
潜	潛
瀬	瀨
灯	燈
炉	爐
点	點
為	爲
焔	焰
焼	燒
煮	煮
犠	犧
状	狀
独	獨
狭	狹
猟	獵
猪	猪
献	獻
獣	獸
瑶	瑤
瓶	甁
産	產
画	畫
畳	疊
痩	瘦
痴	癡
発	發
盗	盜
県	縣
真	眞
研	硏
砕	碎
砺	礪
砿	礦
礼	禮
社	社
祈	祈
祉	祉
祐	祐
祖	祖
祝	祝
神	神
祢	禰
祥	祥
祷	禱
禄	祿
禅	禪
禍	禍
禎	禎
福	福
秘	祕
称	稱
税	稅
稲	稻
穂	穗
穏	穩
穐	龝
穣	穰
窃	竊
竃	竈
竜	龍
箪	簞
篭	籠
粋	粹
粛	肅
糸	絲
経	經
絵	繪
絶	絕
継	繼
続	續
総	總
緑	綠
緒	緖
縁	緣
縄	繩
縦	縱
繊	纖
繋	繫
繍	繡
署	署
翻	飜
者	者
聡	聰
聴	聽
胆	膽
脱	脫
脳	腦
臓	臟
舎	舍
舗	舖
艶	艷
芦	蘆
芸	藝
茎	莖
荘	莊
莱	萊
著	著
蒋	蔣
蔵	藏
薫	薰
薬	藥
薮	藪
虚	虛
虫	蟲
蚕	蠶
蛍	螢
蛎	蠣
蛮	蠻
蝉	蟬
蝋	蠟
蝿	蠅
衛	衞
装	裝
褒	襃
覇	霸
視	視
覚	覺
覧	覽
観	觀
触	觸
訳	譯
証	證
誉	譽
説	說
読	讀
諌	諫
諸	諸
謡	謠
譲	讓
豊	豐
賎	賤
賛	贊
践	踐
躯	軀
転	轉
軽	輕
輌	輛
辞	辭
辺	邊
迩	邇
逓	遞
遅	遲
遥	遙
郎	郞
郷	鄕
都	都
酔	醉
醗	醱
醤	醬
醸	釀
釈	釋
鉄	鐵
鉱	鑛
銭	錢
鋭	銳
鋳	鑄
錬	鍊
録	錄
鎮	鎭
関	關
閲	閱
闘	鬪
陥	陷
険	險
随	隨
隠	隱
隷	隸
雑	雜
霊	靈
青	靑
静	靜
頚	頸
頬	頰
頴	穎
頼	賴
顔	顏
顕	顯
顛	顚
飲	飮
餅	餠
駅	驛
駆	驅
騒	騷
験	驗
騨	驒
髄	髓
髪	髮
鯵	鰺
鴎	鷗
鴬	鶯
鶏	鷄
鹸	鹼
麦	麥
麹	麴
麺	麵
黄	黃
黒	黑
黙	默
齢	齡
𢭐	撈
