kyu,shin
啞鈴,亜鈴
闇黑,暗黒
佚樂,逸楽
綠蔭,緑陰
靈苑,霊園
臆斷,憶断
臆說,憶説
潰亂,壊乱
誡吿,戒告
廻國,回国
廻覽,回覧
廻轉,回転
蛔蟲,回虫
區劃,区画
參劃,参画
挌鬪,格闘
鬲絕,隔絶
函數,関数
巖窟,岩窟
巖頭,岩頭
巖穴,岩穴
巖壁,岩壁
巖稜,岩稜
稀釋,希釈
饑渴,飢渇
雜伎,雑技
廢墟,廃虚
馭者,御者
兇惡,凶悪
兇彈,凶弾
兇狀,凶状
邊疆,辺境
夾擊,挟撃
饗應,供応
衿帶,襟帯
繫爭,係争
繫爭,係争
繫船,係船
繫留,係留
繫累,係累
繫屬,係属
繫屬,係属
連繫,連係
聯繫,連係
闕畫,欠画
殘闕,残欠
斷乎,断固
涸渴,枯渇
宏壯,広壮
坐藥,座薬
坐禪,座禅
圓坐,円座
霰彈,散弾
檢屍,検死
屍體,死体
神洲,神州
滿洲,満州
輯錄,集録
銷暑,消暑
陞敍,昇叙
絛蟲,条虫
拔萃,抜粋
舊蹟,旧跡
戰蹟,戦跡
祕蹟,秘跡
截斷,切断
斷截,断切
擅斷,専断
敕撰,勅選
撰者,選者
當籤,当選
險岨,険阻
惣社,総社
惣髮,総髪
綜覽,総覧
頽廢,退廃
廢頽,廃退
煖爐,暖炉
煖氣,暖気
註釋,注釈
譯註,訳注
畫帖,画帳
裝釘,装丁
裝幀,装丁
牴觸,抵触
觝觸,抵触
顚覆,転覆
顚倒,転倒
顚落,転落
動顚,動転
杜絕,途絶
雜沓,雑踏
氣筩,気筒
悖德,背徳
悖戾,背戻
驅黴,駆梅
檢黴,検梅
氣魄,気迫
醱酵,発酵
活潑,活発
廣汎,広範
斑點,班点
叛亂,反乱
叛戾,反戻
鐵壜,鉄瓶
蒲團,布団
幷合,併合
幷呑,併呑
兼幷,兼併
板屛,板塀
土屛,土塀
褊狹,偏狭
續篇,続編
辮髮,弁髪
堡壘,堡塁
繃帶,包帯
鐵炮,鉄砲
旁點,傍点
樸實,朴実
戰歿,戦没
痲醉,麻酔
痲藥,麻薬
摸寫,模写
游俠,遊侠
祐筆,右筆
熔劑,溶剤
鎔劑,溶剤
熔爐,溶炉
鎔爐,溶炉
俚謠,里謡
厲聲,励声
煉藥,練薬
關聯,関連
聯彈,連弾
勞痎,労咳
貫祿,貫録
倭學,和学
倭國,和国
和學,和学
和國,和国
靈驗,霊現
均齊,均整
附錄,付録
附隨,附随
附屬,附属
不粹,無粋
硏磨,研摩
濫發,乱発
濫賣,乱売
鍛鍊,鍛練
修鍊,修練
鍊熟,練熟
鍊成,練成
鍊鐵,錬鉄
鍊磨,錬磨
鍊摩,錬磨
糺彈,糾弾
鋪裝,舗装
兇變,凶変
坐視,座視
讚辭,賛辞
讃辭,賛辞
畫讚,画賛
畫讃,画賛
稱讚,称賛
稱讃,称賛
絕讚,絶賛
絕讃,絶賛
禮讚,礼賛
禮讃,礼賛
眞蹟,真跡
尖銳,先鋭
穎才,英才
秀穎,秀英
才穎,才英
火焰,火炎
氣焰,気炎
氣焰,気炎
防焰,防炎
光焰,光炎
焰色,炎色
餘焰,余炎
餘焰,余炎
焰心,炎心
焰硝,煙硝
白堊,白亜
啞鈴,亜鈴
防遏,防圧
諳記,暗記
諳算,暗算
諳譜,暗譜
闇夜,暗夜
幽闇,幽暗
冥闇,冥暗
黯然,暗然
按分,案分
已後,以後
已上,以上
已下,以下
已前,以前
萎縮,委縮
安佚,安逸
佚書,逸書
佚文,逸文
放佚,放逸
佚遊,逸遊
淫佚,淫逸
散佚,散逸
驕佚,驕逸
樹蔭,樹陰
庇蔭,庇陰
涼蔭,涼陰
知慧,知恵
叡知,英知
陰翳,陰影
暗翳,暗影
掩護,援護
義捐,義援
墓苑,墓園
禁苑,禁園
苑池,園池
苑地,園地
敷衍,敷延
臆病,憶病
臆測,憶測
嘉日,佳日
嘉辰,佳辰
嘉節,佳節
嘉例,佳例
嘉肴,佳肴
嘉賞,佳賞
倒潰,倒壊
潰走,壊走
潰滅,壊滅
決潰,決壊
全潰,全壊
半潰,半壊
崩潰,崩壊
遺誡,遺戒
訓誡,訓戒
教誨,教戒
廻廊,回廊
廻航,回航
廻旋,回旋
廻流,回流
廻天,回天
廻心,回心
恢復,回復
洄遊,回遊
浬,海里
劃一,画一
企劃,企画
劃定,画定
劃然,画然
外廓,外郭
一廓,一郭
胸廓,胸郭
城廓,城郭
遊廓,遊郭
輪廓,輪郭
廓大,郭大
廓大,拡大
挌技,格技
骨骼,骨格
擱筆,閣筆
赫怒,嚇怒
恰好,格好
快闊,快活
快濶,快活
恐愒,恐喝
恫愒,恫喝
旱害,干害
旱天,干天
書翰,書簡
手翰,手簡
貴翰,貴簡
象嵌,象眼
交驩,交歓
巖窟,岩窟
巖頭,岩頭
巖穴,岩穴
巖壁,岩壁
巖稜,岩稜
